Strain	Accession	Year	Continent	Region	Country	Source	Genotype	Source
np31	ERR357628	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np90	ERR357629	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ERL09896	ERR357630	2009	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
H12ESR04928-001A	ERR357631	2012	Australia & Oceania	Oceania 	Samoa	Stool	2.2.1	"Wong et al, 2015 (global framework)"
np39	ERR357632	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np65	ERR357633	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np92	ERR357634	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ERL113717	ERR357581	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
3143/3	ERR357635	2010	Africa	Central Africa	DRC	Blood	2.5.1	"Wong et al, 2015 (global framework)"
ERL102292	ERR357636	2010	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np40	ERR357637	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np67	ERR357638	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np93	ERR357639	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ERL101102	ERR357641	2010	Asia	South Asia	India	Stool	4.3.1	"Wong et al, 2015 (global framework)"
dtc99	ERR357642	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc98	ERR357643	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn88	ERR357644	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc20	ERR357645	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc131	ERR357646	1995	Asia	Southeast Asia	Vietnam	Blood	3.4.0	"Wong et al, 2015 (global framework)"
dtc180	ERR357647	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc5	ERR357648	1994	Asia	Southeast Asia	Vietnam	Blood	3.2.1	"Wong et al, 2015 (global framework)"
dtc107	ERR357649	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ct1-13	ERR357651	1993	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ct1-19	ERR357652	1993	Asia	Southeast Asia	Vietnam	Blood	1.2.1	"Wong et al, 2015 (global framework)"
dty1-99	ERR357653	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dty1-71	ERR357654	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np5	ERR357583	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-121	ERR357655	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-122	ERR357657	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty1-48	ERR357659	1993	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-124	ERR357661	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-68	ERR357663	1994	Asia	Southeast Asia	Vietnam	Blood	3.0.0	"Wong et al, 2015 (global framework)"
np43	ERR357584	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-69	ERR357665	1994	Asia	Southeast Asia	Vietnam	Blood	4.1.0	"Wong et al, 2015 (global framework)"
ty1-30	ERR357667	1993	Asia	Southeast Asia	Vietnam	Blood	3.2.1	"Wong et al, 2015 (global framework)"
MDUST110	ERR357756	2007	Africa	North Africa	Egypt	Blood	2.2.1	"Wong et al, 2015 (global framework)"
MDUST146	ERR357765	2012	Unknown	Unknown 	Unknown	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST148	ERR357766	2012	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST165	ERR357767	2011	Asia	South Asia	India	Blood	2.2.2	"Wong et al, 2015 (global framework)"
MDUST167	ERR357768	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST170	ERR357769	2011	Asia	Southeast Asia	South-east Asia	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST171	ERR357770	2011	Asia	South Asia	India	Blood	3.3.0	"Wong et al, 2015 (global framework)"
MDUST172	ERR357771	2011	Asia	Southeast Asia	Thailand	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST176	ERR357772	2011	Unknown	Unknown 	Unknown	Blood	3.3.0	"Wong et al, 2015 (global framework)"
MDUST190	ERR357773	2011	Unknown	Unknown 	Unknown	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST191	ERR357774	2011	Asia	South Asia	Bangladesh	Blood	3.3.0	"Wong et al, 2015 (global framework)"
MDUST112	ERR357757	2008	Africa	North Africa	Sudan	Urine	3.3.0	"Wong et al, 2015 (global framework)"
MDUST192	ERR357775	2011	Asia	Southeast Asia	Indonesia	Blood	0.0.2	"Wong et al, 2015 (global framework)"
MDUST193	ERR357776	2011	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST195	ERR357777	2011	Asia	South Asia	Bangladesh	Blood	3.3.0	"Wong et al, 2015 (global framework)"
MDUST218	ERR357778	2011	Asia	Western Asia	Lebanon	Blood	2.2.2	"Wong et al, 2015 (global framework)"
MDUST221	ERR357779	2011	Asia	South Asia	India	Blood	3.3.0	"Wong et al, 2015 (global framework)"
MDUST227	ERR357780	2010	Asia	South Asia	Bangladesh	Blood	3.2.2	"Wong et al, 2015 (global framework)"
MDUST228	ERR357781	2010	Australia & Oceania	Oceania 	Samoa	Urine	3.5.4	"Wong et al, 2015 (global framework)"
MDUST230	ERR357782	2010	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST233	ERR357783	2010	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST238	ERR357784	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST119	ERR357758	2009	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST240	ERR357785	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST245	ERR357786	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST247	ERR357787	2011	Asia	South Asia	India	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST251	ERR357788	2010	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST254	ERR357789	2010	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST260	ERR357790	2011	Unknown	Unknown 	Unknown	Blood	2.2.2	"Wong et al, 2015 (global framework)"
MDUST262	ERR357791	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST263	ERR357792	2011	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST264	ERR357793	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST266	ERR357794	2011	Asia	South Asia	Pakistan	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST122	ERR357759	2010	Australia & Oceania	Oceania 	Samoa	Urine	3.5.4	"Wong et al, 2015 (global framework)"
MDUST271	ERR357795	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST272	ERR357796	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST273	ERR357797	2011	Asia	South Asia	India	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST275	ERR357798	1992	Australia & Oceania	Oceania 	Papua New Guinea	Stool	2.1.7	"Wong et al, 2015 (global framework)"
MDUST290	ERR357799	2008	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST302	ERR357800	1980	Australia & Oceania	Oceania 	Papua New Guinea	Unknown	4.1.0	"Wong et al, 2015 (global framework)"
MDUST307	ERR357801	1981	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
MDUST314	ERR357802	1991	Australia & Oceania	Oceania 	Vanuatu	Blood	4.1.0	"Wong et al, 2015 (global framework)"
MDUST324	ERR357803	1992	Australia & Oceania	Oceania 	Fiji	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST338	ERR357804	1993	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST124	ERR357760	2011	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST343	ERR357805	1993	Australia & Oceania	Oceania 	Fiji	Blood	2.3.5	"Wong et al, 2015 (global framework)"
MDUST346	ERR357806	1984	Australia & Oceania	Oceania 	Fiji	Blood	4.2.1	"Wong et al, 2015 (global framework)"
MDUST347	ERR357807	1993	Australia & Oceania	Oceania 	Fiji	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST350	ERR357808	1985	Australia & Oceania	Oceania 	Fiji	Blood	2.3.5	"Wong et al, 2015 (global framework)"
MDUST353	ERR357809	1986	Australia & Oceania	Oceania 	Papua New Guinea	Blood	4.1.0	"Wong et al, 2015 (global framework)"
MDUST357	ERR357810	1994	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST359	ERR357811	1996	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST367	ERR357813	2011	Asia	South Asia	India	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST369	ERR357814	2011	Asia	South Asia	India	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST134	ERR357761	2011	Asia	Southeast Asia	Phillipines	Stool	3.0.0	"Wong et al, 2015 (global framework)"
MDUST370	ERR357815	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST371	ERR357816	2011	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST372	ERR357817	2011	Asia	South Asia	Pakistan	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST373	ERR357818	2011	Asia	South Asia	India	Blood	2.5.0	"Wong et al, 2015 (global framework)"
MDUST374	ERR357819	2011	Asia	South Asia	Pakistan	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST375	ERR357820	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST376	ERR357821	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST377	ERR357822	2011	Asia	South Asia	India	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST378	ERR357823	2011	Asia	South Asia	India	Stool	3.0.0	"Wong et al, 2015 (global framework)"
MDUST379	ERR357824	2011	Asia	Southeast Asia	Myanmar	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST137	ERR357762	2011	Asia	South Asia	India	Blood	3.3.1	"Wong et al, 2015 (global framework)"
MDUST380	ERR357825	2011	Asia	South Asia	India	Blood	3.2.1	"Wong et al, 2015 (global framework)"
MDUST381	ERR357826	2011	Asia	South Asia	India	Stool	3.3.1	"Wong et al, 2015 (global framework)"
MDUST384	ERR357827	2011	Asia	Southeast Asia	Indonesia	Stool	2.1.0	"Wong et al, 2015 (global framework)"
MDUST390	ERR357828	2011	Asia	South Asia	Bangladesh	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST392	ERR357829	2011	Asia	South Asia	India	Unknown	4.3.1	"Wong et al, 2015 (global framework)"
MDUST394	ERR357830	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST395	ERR357831	2012	Asia	Southeast Asia	Indonesia	Blood	2.1.6	"Wong et al, 2015 (global framework)"
MDUST398	ERR357832	2011	Asia	Southeast Asia	Indonesia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST399	ERR357833	2011	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST400	ERR357834	2012	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST142	ERR357763	2012	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST405	ERR357835	2012	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST409	ERR357836	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST413	ERR357837	2011	Asia	South Asia	India	Blood	2.2.1	"Wong et al, 2015 (global framework)"
MDUST414	ERR357838	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST416	ERR357839	2012	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST417	ERR357840	2012	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST419	ERR357841	2011	Australia & Oceania	Oceania 	Fiji	Stool	3.3.1	"Wong et al, 2015 (global framework)"
MDUST144	ERR357764	2012	Australia & Oceania	Australia 	Australia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
820	ERR360449	2003	Asia	South Asia	Pakistan	Blood	2.0.1	"Wong et al, 2015 (global framework)"
3484	ERR360458	2003	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
16599	ERR360459	2003	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
2439	ERR360460	2003	Asia	South Asia	Pakistan	Blood	2.0.1	"Wong et al, 2015 (global framework)"
1382	ERR360461	2003	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
200	ERR360462	2003	Asia	South Asia	Pakistan	Blood	2.0.0	"Wong et al, 2015 (global framework)"
20753	ERR360463	2003	Asia	South Asia	Pakistan	Blood	3.2.2	"Wong et al, 2015 (global framework)"
3163	ERR360464	2003	Asia	South Asia	Pakistan	Blood	3.3.1	"Wong et al, 2015 (global framework)"
11193	ERR360465	2003	Asia	South Asia	Pakistan	Blood	3.3.0	"Wong et al, 2015 (global framework)"
6289	ERR360466	2003	Asia	South Asia	Pakistan	Blood	2.0.0	"Wong et al, 2015 (global framework)"
2064	ERR360467	2003	Asia	South Asia	Pakistan	Blood	2.0.1	"Wong et al, 2015 (global framework)"
5504	ERR360450	2003	Asia	South Asia	Pakistan	Blood	2.0.1	"Wong et al, 2015 (global framework)"
1041	ERR360468	2003	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
4180	ERR360469	2003	Asia	South Asia	Pakistan	Blood	2.3.3	"Wong et al, 2015 (global framework)"
21801	ERR360470	2003	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
3283	ERR360471	2003	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
10109	ERR360472	2003	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
20911	ERR360473	2003	Asia	South Asia	Pakistan	Blood	3.2.2	"Wong et al, 2015 (global framework)"
21095	ERR360474	2003	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
21669	ERR360475	2003	Asia	South Asia	Pakistan	Blood	3.2.2	"Wong et al, 2015 (global framework)"
2176	ERR360476	2003	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
11110	ERR360477	2003	Asia	South Asia	Pakistan	Blood	3.2.2	"Wong et al, 2015 (global framework)"
3657	ERR360451	2003	Asia	South Asia	Pakistan	Blood	2.0.1	"Wong et al, 2015 (global framework)"
2513	ERR360478	2003	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
3164	ERR360479	2003	Asia	South Asia	Pakistan	Blood	2.3.3	"Wong et al, 2015 (global framework)"
42	ERR360480	2003	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
3769	ERR360481	2003	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
7415	ERR360482	2003	Asia	South Asia	Pakistan	Blood	3.0.1	"Wong et al, 2015 (global framework)"
E99-6646  	ERR360483	1999	Africa	North Africa	Algeria	Not provided	3.1.0	"Wong et al, 2015 (global framework)"
09-6318	ERR360484	2009	Africa	North Africa	Algeria	Not provided	0.1.0	"Wong et al, 2015 (global framework)"
77-303	ERR360485	1977	Asia	South Asia	India	Not provided	2.5.0	"Wong et al, 2015 (global framework)"
E98-8119  	ERR360486	1998	South America	South America	Peru	Not provided	0.1.3	"Wong et al, 2015 (global framework)"
E99-8013  	ERR360487	1999	Africa	North Africa	Morocco	Not provided	2.2.0	"Wong et al, 2015 (global framework)"
1093	ERR360452	2003	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
07-4565	ERR360488	2007	Africa	West Africa	IvoryCoast	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
E98-2107  	ERR360489	1998	Africa	West Africa	Senegal	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
E98-2601  	ERR360490	1998	Africa	West Africa	Gabon	Not provided	3.3.0	"Wong et al, 2015 (global framework)"
E99-9794  	ERR360491	1999	Africa	East Africa	Comoros	Not provided	3.0.0	"Wong et al, 2015 (global framework)"
E00-1382  	ERR360492	2000	Africa	North Africa	Algeria	Not provided	2.0.2	"Wong et al, 2015 (global framework)"
E97-2364  	ERR360493	1997	Asia	South Asia	India	Not provided	2.5.0	"Wong et al, 2015 (global framework)"
IPCU	ERR360494	2007	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
09-4821	ERR360495	2009	Africa	West Africa	Guinea	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
E97-3246  	ERR360496	1997	Africa	East Africa	Madagascar	Not provided	2.5.0	"Wong et al, 2015 (global framework)"
E02-2364  	ERR360497	2002	Africa	East Africa	Comoros	Not provided	2.5.0	"Wong et al, 2015 (global framework)"
17311	ERR360453	2003	Asia	South Asia	Pakistan	Blood	2.0.0	"Wong et al, 2015 (global framework)"
E98-4364  	ERR360498	1998	North America	North America	Mexico	Not provided	2.3.2	"Wong et al, 2015 (global framework)"
E99-4879  	ERR360499	1999	Africa	North Africa	Morocco	Not provided	2.0.0	"Wong et al, 2015 (global framework)"
09-4584	ERR360500	2009	Africa	Africa 	Africa	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
09-2214	ERR360501	2009	Europe	Western Europe	"France (mother-child, African name)"	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
E00-6657  	ERR360502	2000	Africa	North Africa	Morocco	Not provided	4.1.0	"Wong et al, 2015 (global framework)"
E98-11555 	ERR360503	1998	Asia	Western Asia	Armenia	Not provided	2.0.0	"Wong et al, 2015 (global framework)"
E02-1963  	ERR360504	2002	Asia	Southeast Asia	Laos	Blood	4.3.1	"Wong et al, 2015 (global framework)"
E01-1747  	ERR360505	2001	Africa	Central Africa	Cameroon	Not provided	0.1.1	"Wong et al, 2015 (global framework)"
09-6906	ERR360506	2009	Africa	Central Africa	CAR	Not provided	2.5.1	"Wong et al, 2015 (global framework)"
E99-6359  	ERR360507	1999	Africa	West Africa	Mali	Not provided	2.3.2	"Wong et al, 2015 (global framework)"
18763	ERR360454	2003	Asia	South Asia	Pakistan	Blood	3.3.1	"Wong et al, 2015 (global framework)"
80-2002	ERR360509	1980	Africa	East Africa	Madagascar	Not provided	2.2.0	"Wong et al, 2015 (global framework)"
E99-8635  	ERR360510	1999	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
76-1292	ERR360511	1976	Africa	Central Africa	DRC	Blood	1.1.3	"Wong et al, 2015 (global framework)"
09-5224	ERR360513	2009	Africa	Central Africa	Cameroon	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
E96-12081 	ERR360514	1996	Africa	East Africa	Madagascar	Not provided	4.1.0	"Wong et al, 2015 (global framework)"
E97-2307  	ERR360515	1997	Asia	South Asia	India	Not provided	3.3.0	"Wong et al, 2015 (global framework)"
E99-1028  	ERR360516	1999	Africa	West Africa	Senegal	Not provided	0.1.0	"Wong et al, 2015 (global framework)"
E02-0530  	ERR360517	2002	Africa	West Africa	Nigeria	Not provided	2.3.2	"Wong et al, 2015 (global framework)"
3802	ERR360455	2003	Asia	South Asia	Pakistan	Blood	2.0.0	"Wong et al, 2015 (global framework)"
E98-6926  	ERR360518	1998	Africa	West Africa	Mauritania	Not provided	4.1.1	"Wong et al, 2015 (global framework)"
IPCC	ERR360519	2002	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
IPCG	ERR360520	2003	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
E01-8716  	ERR360521	2001	Asia	South Asia	Sri Lanka	Not provided	3.0.0	"Wong et al, 2015 (global framework)"
E99-7012  	ERR360522	1999	Africa	North Africa	Morocco	Not provided	3.1.0	"Wong et al, 2015 (global framework)"
09-5232	ERR360523	2009	Africa	West Africa	Mauritania	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
IPCO	ERR360524	2006	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
06-6673	ERR360525	2006	Africa	West Africa	Ivory Coast	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
07-5320	ERR360526	2007	Asia	South Asia	Bangladesh	Not provided	4.3.1	"Wong et al, 2015 (global framework)"
06-6055	ERR360527	2006	Africa	West Africa	Burkina Faso	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
16637	ERR360456	2003	Asia	South Asia	Pakistan	Blood	2.0.1	"Wong et al, 2015 (global framework)"
E03-6418  	ERR360528	2003	Asia	South Asia	Bangladesh	Not provided	4.3.1	"Wong et al, 2015 (global framework)"
09-2213	ERR360529	2009	Europe	Western Europe	"France (mother-child, African name)"	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
09-8993	ERR360530	2009	Africa	West Africa	Nigeria	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
3723	ERR360457	2003	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
E00-3459  	ERR360614	2000	Africa	East Africa	Madagascar	Not provided	2.2.0	"Wong et al, 2015 (global framework)"
E02-2159  	ERR360623	2002	Asia	South Asia	SriLanka	Not provided	4.3.1	"Wong et al, 2015 (global framework)"
E02-1687  	ERR360624	2002	Asia	Southeast Asia	Thailand	Not provided	2.3.2	"Wong et al, 2015 (global framework)"
09-9292	ERR360625	2009	Africa	Africa 	Africa	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
E99-9082  	ERR360626	1999	Africa	West Africa	Niger	Not provided	2.3.2	"Wong et al, 2015 (global framework)"
05-8683	ERR360627	2005	Africa	North Africa	Algeria	Not provided	1.1.1	"Wong et al, 2015 (global framework)"
07-3108	ERR360628	2007	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
69-61     	ERR360629	1961	Africa	North Africa	Tunisia	Not provided	3.1.0	"Wong et al, 2015 (global framework)"
04-7167	ERR360630	2004	Africa	West Africa	Benin	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
E02-5919  	ERR360631	2002	Asia	East Asia	China	Not provided	3.1.0	"Wong et al, 2015 (global framework)"
06-1510	ERR360632	2006	Africa	West Africa	Burkina Faso	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
72-1258	ERR360615	1972	North America	North America	Mexico	Not provided	2.3.2	"Wong et al, 2015 (global framework)"
07-5494	ERR360633	2007	Africa	West Africa	Ivory Coast	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
14-58     	ERR360634	1958	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
E01-1811  	ERR360635	2001	Africa	West Africa	Mali	Not provided	2.2.0	"Wong et al, 2015 (global framework)"
IPCE	ERR360636	2002	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
E99-2862  	ERR360637	1999	Africa	North Africa	Egypt	Not provided	2.2.0	"Wong et al, 2015 (global framework)"
E00-9345  	ERR360639	2000	Asia	South Asia	India	Not provided	4.3.1	"Wong et al, 2015 (global framework)"
04-7620	ERR360640	2004	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
09-8774	ERR360641	2009	Africa	West Africa	Benin	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
76-1406	ERR360642	1976	Asia	Southeast Asia	Indonesia	Blood	3.2.1	"Wong et al, 2015 (global framework)"
IPCK	ERR360616	2004	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
E02-1739  	ERR360643	2002	Africa	West Africa	Benin	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
12-58	ERR360644	1958	Africa	Central Africa	Cameroon	Not provided	0.1.1	"Wong et al, 2015 (global framework)"
09-2619	ERR360645	2009	Europe	Western Europe	France (African meal)	Not provided	3.1.1	"Wong et al, 2015 (global framework)"
05-2783	ERR360646	2005	Africa	Central Africa	Angola	Not provided	2.5.1	"Wong et al, 2015 (global framework)"
IPCI	ERR360647	2004	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
IPCL	ERR360648	2004	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
72-1907	ERR360649	1972	Asia	Southeast Asia	Vietnam	Not provided	3.4.0	"Wong et al, 2015 (global framework)"
E00-6999  	ERR360650	2000	South America	South America	Peru	Not provided	2.3.3	"Wong et al, 2015 (global framework)"
06-467	ERR360651	2006	Africa	Central Africa	Cameroon	Not provided	2.3.1	"Wong et al, 2015 (global framework)"
E02-0232  	ERR360652	2002	South America	South America	French Guiana	Not provided	2.5.0	"Wong et al, 2015 (global framework)"
E00-2388  	ERR360617	2000	Africa	North Africa	Egypt	Not provided	2.5.0	"Wong et al, 2015 (global framework)"
E97-9141  	ERR360653	1997	Asia	Western Asia	Turkey	Not provided	2.3.2	"Wong et al, 2015 (global framework)"
E00-6599  	ERR360654	2000	Africa	West Africa	Cape Verde	Not provided	3.3.1	"Wong et al, 2015 (global framework)"
IPCA	ERR360655	2000	Africa	Central Africa	Cameroon	Not provided	0.0.1	"Wong et al, 2015 (global framework)"
E00-7878  	ERR360656	2000	Africa	North Africa	Morocco	Not provided	2.0.0	"Wong et al, 2015 (global framework)"
E98-8120  	ERR360657	1998	Africa	Central Africa	Cameroon	Not provided	0.0.1	"Wong et al, 2015 (global framework)"
E00-7463  	ERR360658	2000	Africa	North Africa	Morocco	Not provided	3.0.1	"Wong et al, 2015 (global framework)"
E99-6478  	ERR360659	1999	Africa	West Africa	Guinea	Not provided	3.1.0	"Wong et al, 2015 (global framework)"
