sample	BioHansel subtype scheme Typhi_v1.2.0	avg_kmer_coverage	qc_status	qc_message	Corresponding Wong et al genotype for BioHansel subtype	Genotype reported in Wong et al publication for this accession ID	IF FAIL QC: Final BioHansel subtype with highest k-mer coverage in dataset (Wong et al. genotype code; coverage)	IF FAIL QC: Minor contaminant k-mer subtype in dataset causing mixed subtype QC call (Wong et al. genotype code; coverage)
ERR357611	2.3.5.4	36.843	PASS		Typhi_3.5.4	3.5.4		
ERR352432	2.3.5.4	49.559	PASS		Typhi_3.5.4	3.5.4		
ERR343249	2.3.5.4	22.853	PASS		Typhi_3.5.4	3.5.4		
ERR338109	2.3.5.4	58.901	PASS		Typhi_3.5.4	3.5.4		
ERR343312	2.3.5.4	29.412	PASS		Typhi_3.5.4	3.5.4		
ERR343305	2.3.5.4.1	26.897	PASS		Typhi_3.5.3	3.5.3		
ERR352488	2.3.5.4.1	44.928	PASS		Typhi_3.5.3	3.5.3		
ERR352486	2.3.5.4.1	43.986	PASS		Typhi_3.5.3	3.5.3		
ERR343277	2.3.5.4.1	25.768	PASS		Typhi_3.5.3	3.5.3		
ERR343266	2.3.5.4.1	23.206	PASS		Typhi_3.5.3	3.5.3		
ERR352258	2.3.5.4.1	41.087	PASS		Typhi_3.5.3	3.5.3		
ERR331256	2.3.6.1	127.61	PASS		Typhi_4.1.0	4.1.0		
ERR326606	2.3.6.1	48.423	PASS		Typhi_4.1.0	4.1.0		
ERR353341	2.3.6.1	38.884	PASS		Typhi_4.1.0	4.1.0		
ERR331251	2.3.6.1	61.786	PASS		Typhi_4.1.0	4.1.0		
ERR349402	2.3.6.1	28.75	PASS		Typhi_4.1.0	4.1.0		
ERR326652	2.3.6.1	58.957	PASS		Typhi_4.1.0	4.1.0		
ERR357800	2.3.6.1	45.588	PASS		Typhi_4.1.0	4.1.0		
ERR331257	2.3.6.1	52.188	PASS		Typhi_4.1.0	4.1.0		
ERR357665	2.3.6.1	39.855	PASS		Typhi_4.1.0	4.1.0		
ERR326612	2.3.6.1	41.783	PASS		Typhi_4.1.0	4.1.0		
ERR360691	2.3.6.1	37.623	PASS		Typhi_4.1.0	4.1.0		
ERR326641	2.3.6.1	50.352	PASS		Typhi_4.1.0	4.1.0		
ERR331319	2.3.6.1	60.71	PASS		Typhi_4.1.0	4.1.0		
ERR326655	2.3.6.1	66.972	PASS		Typhi_4.1.0	4.1.0		
ERR326602	2.3.6.1	50.412	PASS		Typhi_4.1.0	4.1.0		
ERR331349	2.3.6.1	46.412	PASS		Typhi_4.1.0	4.1.0		
ERR331232	2.3.6.1	50.059	PASS		Typhi_4.1.0	4.1.0		
ERR326651	2.3.6.1	51.767	PASS		Typhi_4.1.0	4.1.0		
ERR331236	2.3.6.1	66.592	PASS		Typhi_4.1.0	4.1.0		
ERR352337	2.3.6.1	56.116	PASS		Typhi_4.1.0	4.1.0		
ERR343265	2.3.6.1	26.986	PASS		Typhi_4.1.0	4.1.0		
ERR338128	2.3.6.1	61.614	PASS		Typhi_4.1.0	4.1.0		
ERR326601	2.3.6.1	46.437	PASS		Typhi_4.1.0	4.1.0		
ERR326599	2.3.6.1	57.594	PASS		Typhi_4.1.0	4.1.0		
ERR326608	2.3.6.1	48.069	PASS		Typhi_4.1.0	4.1.0		
ERR331244	2.3.6.1	60.385	PASS		Typhi_4.1.0	4.1.0		
ERR338069	2.3.6.1	47.357	PASS		Typhi_4.1.0	4.1.0		
ERR349343	2.3.6.1	32.5	PASS		Typhi_4.1.0	4.1.0		
ERR326649	2.3.6.1	58.7	PASS		Typhi_4.1.0	4.1.0		
ERR338099	2.3.6.1	55.899	PASS		Typhi_4.1.0	4.1.0		
ERR357450	2.3.6.1	47.884	PASS		Typhi_4.1.0	4.1.0		
ERR331234	2.3.6.1	47.917	PASS		Typhi_4.1.0	4.1.0		
ERR360502	2.3.6.1	37.42	PASS		Typhi_4.1.0	4.1.0		
ERR326633	2.3.6.1	64	PASS		Typhi_4.1.0	4.1.0		
ERR331337	2.3.6.1	39.819	PASS		Typhi_4.1.0	4.1.0		
ERR340816	2.3.6.1	86.694	PASS		Typhi_4.1.0	4.1.0		
ERR326607	2.3.6.1	56.9	PASS		Typhi_4.1.0	4.1.0		
ERR331331	2.3.6.1	41.507	PASS		Typhi_4.1.0	4.1.0		
ERR360673	2.3.6.1	48.147	PASS		Typhi_4.1.0	4.1.0		
ERR331243	2.3.6.1	62.577	PASS		Typhi_4.1.0	4.1.0		
ERR326614	2.3.6.1	45.403	PASS		Typhi_4.1.0	4.1.0		
ERR360661	2.3.6.1	35.072	PASS		Typhi_4.1.0	4.1.0		
ERR340798	2.3.6.1	100.357	PASS		Typhi_4.1.0	4.1.0		
ERR331247	2.3.6.1	55.125	PASS		Typhi_4.1.0	4.1.0		
ERR326646	2.3.6.1	58.62	PASS		Typhi_4.1.0	4.1.0		
ERR353339	2.3.6.1	49.471	PASS		Typhi_4.1.0	4.1.0		
ERR343324	2.3.6.1	24.074	PASS		Typhi_4.1.0	4.1.0		
ERR326622	2.3.6.1	59.408	PASS		Typhi_4.1.0	4.1.0		
ERR338129	2.3.6.1	54.222	PASS		Typhi_4.1.0	4.1.0		
ERR349604	2.3.6.1	33.043	PASS		Typhi_4.1.0	4.1.0		
ERR331238	2.3.6.1	62.957	PASS		Typhi_4.1.0	4.1.0		
ERR349362	2.3.6.1	30.735	PASS		Typhi_4.1.0	4.1.0		
ERR326631	2.3.6.1	53.127	PASS		Typhi_4.1.0	4.1.0		
ERR326603	2.3.6.1	44.573	PASS		Typhi_4.1.0	4.1.0		
ERR331254	2.3.6.1	52.778	PASS		Typhi_4.1.0	4.1.0		
ERR360514	2.3.6.1	43.171	PASS		Typhi_4.1.0	4.1.0		
ERR357451	2.3.6.1	49.743	PASS		Typhi_4.1.0	4.1.0		
ERR331240	2.3.6.1	52.577	PASS		Typhi_4.1.0	4.1.0		
ERR360688	2.3.6.1	42.029	PASS		Typhi_4.1.0	4.1.0		
ERR331239	2.3.6.1	51.944	PASS		Typhi_4.1.0	4.1.0		
ERR331227	2.3.6.1	60.971	PASS		Typhi_4.1.0	4.1.0		
ERR343263	2.3.6.1	22.882	PASS		Typhi_4.1.0	4.1.0		
ERR353334	2.3.6.1	47.971	PASS		Typhi_4.1.0	4.1.0		
ERR357809	2.3.6.1	43.897	PASS		Typhi_4.1.0	4.1.0		
ERR357462	2.3.6.1	38.536	PASS		Typhi_4.1.0	4.1.0		
ERR326654	2.3.6.1	54.027	PASS		Typhi_4.1.0	4.1.0		
ERR331230	2.3.6.1	62.652	PASS		Typhi_4.1.0	4.1.0		
ERR331358	2.3.6.1	43.394	PASS		Typhi_4.1.0	4.1.0		
ERR357802	2.3.6.1	43.353	PASS		Typhi_4.1.0	4.1.0		
ERR485139	2.3.6.1	42.914	PASS		Typhi_4.1.0	4.1.0		
ERR352705	2.3.6.1	30.232	PASS		Typhi_4.1.0	4.1.0		
ERR326687	2.3.6.1	49.873	PASS		Typhi_4.1.0	4.1.0		
ERR326605	2.3.6.1	39.472	PASS		Typhi_4.1.0	4.1.0		
ERR326638	2.3.6.1	55.406	PASS		Typhi_4.1.0	4.1.0		
ERR349384	2.3.6.1	34.087	PASS		Typhi_4.1.0	4.1.0		
ERR331357	2.3.6.1	37.634	PASS		Typhi_4.1.0	4.1.0		
ERR360995	2.3.6.1	46.493	PASS		Typhi_4.1.0	4.1.0		
ERR331250	2.3.6.1	58.435	PASS		Typhi_4.1.0	4.1.0		
ERR360796	2.3.6.1.1	37.757	PASS		Typhi_4.1.1	4.1.1		
ERR360833	2.3.6.1.1	34.271	PASS		Typhi_4.1.1	4.1.1		
ERR279189	2.3.6.1.1	63.471	PASS		Typhi_4.1.1	4.1.1		
ERR279139	2.3.6.1.1	53.7	PASS		Typhi_4.1.1	4.1.1		
ERR279191	2.3.6.1.1	80.692	FAIL	"FAIL: Mixed subtype; the positive and negative kmers were found for the same target site 3996717 for subtype ""2.3.6.1.1""."	Typhi_4.1.1	4.1.1	2.3.6.1.1 (4.1.1; 95X)	negative 2.3.6.1.1 (negative 4.1.1; 10X)
ERR338004	2.3.6.1.1	50.529	PASS		Typhi_4.1.1	4.1.1		
ERR360795	2.3.6.1.1	38.986	PASS		Typhi_4.1.1	4.1.1		
ERR360814	2.3.6.1.1	36.029	PASS		Typhi_4.1.1	4.1.1		
ERR360689	2.3.6.1.1	40.044	PASS		Typhi_4.1.1	4.1.1		
ERR360518	2.3.6.1.1	40.294	PASS		Typhi_4.1.1	4.1.1		
ERR279107	2.3.6.1.1	66.7	PASS		Typhi_4.1.1	4.1.1		
ERR279178	2.3.6.1.1	65.58	FAIL	"FAIL:  | FAIL: Mixed subtypes found: ""2.2; 2.3; 2.3.6; 2.3.6.1.1; 2.4; 2.4.1"". | FAIL: Unconfident Results Error 4: Subtype ""2.3.6.1.1"" was found, but kmers for nested hierarchical subtype(s) ""2.3.6.1"" were missing. Due to missing kmers, there is a lack of confidence in the final subtype call."	Typhi_4.1.1	2.4.1	2.2 (2.2.0; 43X)	2.4.1 (2.4.1; 14X) and 2.3.6.1.1 (4.1.1; 12X)
ERR338042	2.3.6.1.1	75.757	PASS		Typhi_4.1.1	4.1.1		
ERR360825	2.3.6.1.1	32.843	PASS		Typhi_4.1.1	4.1.1		
ERR279126	2.3.6.1.1	75.429	PASS		Typhi_4.1.1	4.1.1		
ERR279134	2.3.6.1.1	71.23	PASS		Typhi_4.1.1	4.1.1		
ERR360821	2.3.6.1.1	34.58	PASS		Typhi_4.1.1	4.1.1		
ERR360803	2.3.6.1.1	34.456	PASS		Typhi_4.1.1	4.1.1		
ERR279117	2.3.6.1.1	70.649	PASS		Typhi_4.1.1	4.1.1		
ERR340783	2.3.6.1; 2.3.6.3	78.276	FAIL	"FAIL:  | FAIL: Mixed subtypes found: ""2.3.6.1; 2.3.6.3"". | FAIL: Unconfident Results Error 4: Subtype ""2.3.6.1; 2.3.6.3"" was found, but kmers for nested hierarchical subtype(s) "" 2;  2.3.6;  2.3.6.3;  2.3"" were missing. Due to missing kmers, there is a lack of confidence in the final subtype call."	#N/A	4.3.1	2.3.6.3 (4.3.1; 69X)	2.3.6.1 (4.1; 23X)
ERR357460	2.3.6.2	51.559	PASS		Typhi_4.2.0	4.2.0		
ERR357454	2.3.6.2	52.382	PASS		Typhi_4.2.0	4.2.0		
ERR213268	2.3.6.2	169.067	PASS		Typhi_4.2.0	4.2.0		
ERR213253	2.3.6.2	124.829	PASS		Typhi_4.2.0	4.2.0		
ERR357459	2.3.6.2	41.368	PASS		Typhi_4.2.0	4.2.0		
ERR357463	2.3.6.2	44.38	PASS		Typhi_4.2.0	4.2.0		
ERR343257	2.3.6.2	24.353	PASS		Typhi_4.2.0	4.2.0		
ERR213267	2.3.6.2	187.425	PASS		Typhi_4.2.0	4.2.0		
ERR357461	2.3.6.2	42.928	PASS		Typhi_4.2.0	4.2.0		
ERR357465	2.3.6.2	44.441	PASS		Typhi_4.2.0	4.2.0		
ERR213270	2.3.6.2	174.118	PASS		Typhi_4.2.0	4.2.0		
ERR331270	2.3.6.2.1	54.778	PASS		Typhi_4.2.1	4.2.1		
ERR357467	2.3.6.2.1	47.3	PASS		Typhi_4.2.1	4.2.1		
ERR357464	2.3.6.2.1	37.706	PASS		Typhi_4.2.1	4.2.1		
ERR213255	2.3.6.2.1	185.31	PASS		Typhi_4.2.1	4.2.1		
ERR343281	2.3.6.2.1	26.015	PASS		Typhi_4.2.1	4.2.1		
ERR357457	2.3.6.2.1	45.217	PASS		Typhi_4.2.1	4.2.1		
ERR331264	2.3.6.2.1	63.761	PASS		Typhi_4.2.1	4.2.1		
ERR213252	2.3.6.2.1	99.054	PASS		Typhi_4.2.1	4.2.1		
ERR213251	2.3.6.2.1	171.645	FAIL	"FAIL:  | FAIL: Mixed subtypes found: ""2.3; 2.3.6; 2.3.6.2; 2.3.6.2.1; 2.6""."	Typhi_4.2.1	4.2.1	2.3.6.2.1 (4.2.1; 194X)	2.6 (2.0.1; 8X)
ERR213256	2.3.6.2.1	173.471	PASS		Typhi_4.2.1	4.2.1		
ERR204271	2.3.6.2.1	159.493	PASS		Typhi_4.2.1	4.2.1		
ERR204244	2.3.6.2.1	143.451	PASS		Typhi_4.2.1	4.2.1		
ERR352312	2.3.6.2.1	45.116	PASS		Typhi_4.2.1	4.2.1		
ERR204258	2.3.6.2.1	170.971	PASS		Typhi_4.2.1	4.2.1		
ERR213259	2.3.6.2.1	180.149	PASS		Typhi_4.2.1	4.2.1		
ERR331262	2.3.6.2.1	52.792	PASS		Typhi_4.2.1	4.2.1		
ERR213250	2.3.6.2.1	145.299	PASS		Typhi_4.2.1	4.2.1		
ERR213254	2.3.6.2.1	83.471	PASS		Typhi_4.2.1	4.2.1		
ERR357466	2.3.6.2.1	46.043	PASS		Typhi_4.2.1	4.2.1		
ERR204270	2.3.6.2.1	142.716	PASS		Typhi_4.2.1	4.2.1		
ERR204249	2.3.6.2.1	154.569	PASS		Typhi_4.2.1	4.2.1		
ERR204252	2.3.6.2.1	141.743	PASS		Typhi_4.2.1	4.2.1		
ERR357806	2.3.6.2.1	38.232	PASS		Typhi_4.2.1	4.2.1		
ERR204248	2.3.6.2.1	149.162	PASS		Typhi_4.2.1	4.2.1		
ERR204250	2.3.6.2.1	154.907	PASS		Typhi_4.2.1	4.2.1		
ERR213258	2.3.6.2.1	173.575	PASS		Typhi_4.2.1	4.2.1		
ERR357477	2.3.6.2.1	47.559	PASS		Typhi_4.2.1	4.2.1		
ERR213249	2.3.6.2.1	150.623	FAIL	"FAIL:  | FAIL: Mixed subtypes found: ""2.3; 2.3.6; 2.3.6.2; 2.3.6.2.1; 2.6""."	Typhi_4.2.1	4.2.1	2.3.6.2.1 (4.2.1; 138X)	2.6 (2.0.1; 8X)
ERR213257	2.3.6.2.1	157.027	PASS		Typhi_4.2.1	4.2.1		
ERR204253	2.3.6.2.1	152.307	PASS		Typhi_4.2.1	4.2.1		
ERR204257	2.3.6.2.1	174.366	PASS		Typhi_4.2.1	4.2.1		
ERR204259	2.3.6.2.1	181.611	PASS		Typhi_4.2.1	4.2.1		
ERR213280	2.3.6.2.1	162.486	PASS		Typhi_4.2.1	4.2.1		
ERR204255	2.3.6.2.1	143.375	PASS		Typhi_4.2.1	4.2.1		
ERR357801	2.3.6.2.1	40.706	PASS		Typhi_4.2.1	4.2.1		
ERR352316	2.3.6.2.1	35.544	PASS		Typhi_4.2.1	4.2.1		
ERR352494	2.3.6.2.1	43.779	PASS		Typhi_4.2.1	4.2.1		
ERR204245	2.3.6.2.1	151.52	PASS		Typhi_4.2.1	4.2.1		
ERR204256	2.3.6.2.1; 2.3.6.2.2	153.5	FAIL	"FAIL: 5.88% missing kmers; more than 5.00% missing kmers threshold. Okay coverage depth (162.2 >= 20.0 expected), but this may be the wrong serovar or species for scheme ""Typhi_scheme_v1.2.fasta"" | FAIL: Mixed subtypes found: ""2.3.6.2.1; 2.3.6.2.2"". | FAIL: Unconfident Results Error 4: Subtype ""2.3.6.2.1; 2.3.6.2.2"" was found, but kmers for nested hierarchical subtype(s) "" 2.3.6;  2.3.6.2.2;  2.3.6.2;  2.3;  2"" were missing. Due to missing kmers, there is a lack of confidence in the final subtype call."	#N/A	4.2.1	2.3.6.2.1 (4.2.1; 161X)	2.3.6.2.2 (4.2.2; 18X)
ERR213234	2.3.6.2.1; 2.3.6.2.2	180.841	FAIL	"FAIL: 5.88% missing kmers; more than 5.00% missing kmers threshold. Okay coverage depth (211.6 >= 20.0 expected), but this may be the wrong serovar or species for scheme ""Typhi_scheme_v1.2.fasta"" | FAIL: Mixed subtypes found: ""2.3.6.2.1; 2.3.6.2.2"". | FAIL: Unconfident Results Error 4: Subtype ""2.3.6.2.1; 2.3.6.2.2"" was found, but kmers for nested hierarchical subtype(s) "" 2.3.6;  2.3.6.2.2;  2.3.6.2;  2.3;  2"" were missing. Due to missing kmers, there is a lack of confidence in the final subtype call."	#N/A	4.2.2	2.3.6.2.2 (4.2.2; 245X)	2.3.6.2.1 (4.2.1; 11X)
ERR213233	2.3.6.2.1; 2.3.6.2.2	174.488	FAIL	"FAIL: 5.88% missing kmers; more than 5.00% missing kmers threshold. Okay coverage depth (199.2 >= 20.0 expected), but this may be the wrong serovar or species for scheme ""Typhi_scheme_v1.2.fasta"" | FAIL: Mixed subtypes found: ""2.3.6.2.1; 2.3.6.2.2"". | FAIL: Unconfident Results Error 4: Subtype ""2.3.6.2.1; 2.3.6.2.2"" was found, but kmers for nested hierarchical subtype(s) "" 2.3.6;  2.3.6.2.2;  2.3.6.2;  2.3;  2"" were missing. Due to missing kmers, there is a lack of confidence in the final subtype call."	#N/A	4.2.1	2.3.6.2.1 (4.2.1; 163X)	2.3.6.2.2 (4.2.2; 17X)
ERR331274	2.3.6.2.2	63.055	PASS		Typhi_4.2.2	4.2.2		
ERR213240	2.3.6.2.2	145.584	PASS		Typhi_4.2.2	4.2.2		
ERR204276	2.3.6.2.2	147	PASS		Typhi_4.2.2	4.2.2		
ERR213245	2.3.6.2.2	132.263	PASS		Typhi_4.2.2	4.2.2		
ERR213222	2.3.6.2.2	163.887	PASS		Typhi_4.2.2	4.2.2		
ERR331269	2.3.6.2.2	56.934	PASS		Typhi_4.2.2	4.2.2		
ERR204274	2.3.6.2.2	177.243	PASS		Typhi_4.2.2	4.2.2		
ERR213247	2.3.6.2.2	170.633	PASS		Typhi_4.2.2	4.2.2		
ERR331279	2.3.6.2.2	61.361	PASS		Typhi_4.2.2	4.2.2		
ERR331282	2.3.6.2.2	57.284	PASS		Typhi_4.2.2	4.2.2		
ERR213224	2.3.6.2.2	160.844	PASS		Typhi_4.2.2	4.2.2		
ERR331285	2.3.6.2.2	50.662	PASS		Typhi_4.2.2	4.2.2		
ERR213232	2.3.6.2.2	193.697	PASS		Typhi_4.2.2	4.2.2		
ERR331284	2.3.6.2.2	57.883	PASS		Typhi_4.2.2	4.2.2		
ERR213239	2.3.6.2.2	177.171	PASS		Typhi_4.2.2	4.2.2		
ERR204247	2.3.6.2.2	167.5	PASS		Typhi_4.2.2	4.2.2		
ERR204263	2.3.6.2.2	140.389	PASS		Typhi_4.2.2	4.2.2		
ERR213231	2.3.6.2.2	205.784	FAIL	"FAIL:  | FAIL: Mixed subtypes found: ""2.3; 2.3.6; 2.3.6.2; 2.3.6.2.2; 2.6""."	Typhi_4.2.2	4.2.2	2.3.6.2.2 (4.2.2; 239X)	2.6 (2.0.1; 8X)
ERR213241	2.3.6.2.2	160.838	PASS		Typhi_4.2.2	4.2.2		
ERR204254	2.3.6.2.2	158.091	PASS		Typhi_4.2.2	4.2.2		
ERR213228	2.3.6.2.2	109.456	PASS		Typhi_4.2.2	4.2.2		
ERR204275	2.3.6.2.2	153.69	PASS		Typhi_4.2.2	4.2.2		
ERR204246	2.3.6.2.2	141.338	PASS		Typhi_4.2.2	4.2.2		
ERR331289	2.3.6.2.2	53.803	PASS		Typhi_4.2.2	4.2.2		
ERR204264	2.3.6.2.2	143.875	PASS		Typhi_4.2.2	4.2.2		
ERR331268	2.3.6.2.2	52.93	PASS		Typhi_4.2.2	4.2.2		
ERR213242	2.3.6.2.2	117.863	PASS		Typhi_4.2.2	4.2.2		
ERR331288	2.3.6.2.2	58.171	PASS		Typhi_4.2.2	4.2.2		
ERR352333	2.3.6.2.2	42.681	PASS		Typhi_4.2.2	4.2.2		
ERR213290	2.3.6.2.2	161.904	PASS		Typhi_4.2.2	4.2.2		
ERR213221	2.3.6.2.2	165.824	PASS		Typhi_4.2.2	4.2.2		
ERR213230	2.3.6.2.2	112.803	PASS		Typhi_4.2.2	4.2.2		
ERR331266	2.3.6.2.2	46.479	PASS		Typhi_4.2.2	4.2.2		
ERR204269	2.3.6.2.2	172.543	PASS		Typhi_4.2.2	4.2.2		
ERR213236	2.3.6.2.2	184.773	PASS		Typhi_4.2.2	4.2.2		
ERR213225	2.3.6.2.2	177.767	PASS		Typhi_4.2.2	4.2.2		
ERR331263	2.3.6.2.2	61.057	PASS		Typhi_4.2.2	4.2.2		
ERR331275	2.3.6.2.2	55.944	PASS		Typhi_4.2.2	4.2.2		
ERR213219	2.3.6.2.2	171.87	PASS		Typhi_4.2.2	4.2.2		
ERR204251	2.3.6.2.2	183.183	PASS		Typhi_4.2.2	4.2.2		
ERR204272	2.3.6.2.2	159.725	PASS		Typhi_4.2.2	4.2.2		
ERR331276	2.3.6.2.2	53.473	PASS		Typhi_4.2.2	4.2.2		
ERR213288	2.3.6.2.2	128.133	PASS		Typhi_4.2.2	4.2.2		
ERR204262	2.3.6.2.2	171.569	PASS		Typhi_4.2.2	4.2.2		
ERR331280	2.3.6.2.2	56.394	PASS		Typhi_4.2.2	4.2.2		
ERR213289	2.3.6.2.2	187.932	PASS		Typhi_4.2.2	4.2.2		
ERR204267	2.3.6.2.2	154.282	PASS		Typhi_4.2.2	4.2.2		
ERR331271	2.3.6.2.2	57	PASS		Typhi_4.2.2	4.2.2		
ERR204265	2.3.6.2.2	173.638	PASS		Typhi_4.2.2	4.2.2		
ERR213223	2.3.6.2.2	145.584	PASS		Typhi_4.2.2	4.2.2		
ERR331265	2.3.6.2.2	59.56	PASS		Typhi_4.2.2	4.2.2		
ERR213243	2.3.6.2.2	173.737	PASS		Typhi_4.2.2	4.2.2		
ERR331281	2.3.6.2.2	51.087	PASS		Typhi_4.2.2	4.2.2		
ERR213244	2.3.6.2.2	170.205	PASS		Typhi_4.2.2	4.2.2		
ERR213238	2.3.6.2.2	149.583	PASS		Typhi_4.2.2	4.2.2		
ERR213227	2.3.6.2.2	159.919	PASS		Typhi_4.2.2	4.2.2		
ERR331278	2.3.6.2.2	51.5	PASS		Typhi_4.2.2	4.2.2		
ERR331261	2.3.6.2.2	54.838	PASS		Typhi_4.2.2	4.2.2		
ERR213220	2.3.6.2.2	186.438	PASS		Typhi_4.2.2	4.2.2		
ERR331287	2.3.6.2.2	59.608	PASS		Typhi_4.2.2	4.2.2		
ERR213235	2.3.6.2.2	180.676	PASS		Typhi_4.2.2	4.2.2		
ERR213229	2.3.6.2.2	138.644	PASS		Typhi_4.2.2	4.2.2		
ERR213246	2.3.6.2.2	171.384	PASS		Typhi_4.2.2	4.2.2		
ERR204261	2.3.6.2.2	162.127	PASS		Typhi_4.2.2	4.2.2		
ERR331267	2.3.6.2.2	53.875	PASS		Typhi_4.2.2	4.2.2		
ERR213226	2.3.6.2.2	167.055	PASS		Typhi_4.2.2	4.2.2		
ERR343279	2.3.6.2.2	28.029	PASS		Typhi_4.2.2	4.2.2		
ERR331260	2.3.6.2.2	64.847	PASS		Typhi_4.2.2	4.2.2		
ERR204260	2.3.6.2.2	159.26	PASS		Typhi_4.2.2	4.2.2		
ERR343285	2.3.6.2.2	23.897	PASS		Typhi_4.2.2	4.2.2		
ERR204273	2.3.6.2.2	162.083	PASS		Typhi_4.2.2	4.2.2		
ERR213237	2.3.6.2.2	178.853	PASS		Typhi_4.2.2	4.2.2		
ERR213248	2.3.6.2.2	179.293	PASS		Typhi_4.2.2	4.2.2		
ERR204266	2.3.6.2.2	154.423	PASS		Typhi_4.2.2	4.2.2		
ERR331273	2.3.6.2.2	66.069	PASS		Typhi_4.2.2	4.2.2		
ERR331283	2.3.6.2.2	61.145	PASS		Typhi_4.2.2	4.2.2		
ERR213265	2.3.6.2.3	129.419	PASS		Typhi_4.2.3	4.2.3		
ERR213277	2.3.6.2.3	163.07	PASS		Typhi_4.2.3	4.2.3		
ERR213279	2.3.6.2.3	142.176	PASS		Typhi_4.2.3	4.2.3		
ERR213261	2.3.6.2.3	165.905	PASS		Typhi_4.2.3	4.2.3		
ERR213276	2.3.6.2.3	168.086	PASS		Typhi_4.2.3	4.2.3		
ERR213271	2.3.6.2.3	194.352	PASS		Typhi_4.2.3	4.2.3		
ERR213278	2.3.6.2.3	28.391	PASS		Typhi_4.2.3	4.2.3		
ERR352317	2.3.6.2.3	43.087	PASS		Typhi_4.2.3	4.2.3		
ERR213269	2.3.6.2.3	148.605	PASS		Typhi_4.2.3	4.2.3		
ERR213287	2.3.6.2.3	159.244	PASS		Typhi_4.2.3	4.2.3		
ERR213272	2.3.6.2.3	200.892	PASS		Typhi_4.2.3	4.2.3		
ERR213260	2.3.6.2.3	182.444	PASS		Typhi_4.2.3	4.2.3		
ERR279144	2.3.6.3	76.586	PASS		Typhi_4.3.1	4.3.1		
ERR340799	2.3.6.3	85.77	PASS		Typhi_4.3.1	4.3.1		
ERR422804	2.3.6.3	33.929	PASS		Typhi_4.3.1	4.3.1		
ERR279113	2.3.6.3	64.217	PASS		Typhi_4.3.1	4.3.1		
ERR352651	2.3.6.3	33.412	PASS		Typhi_4.3.1	4.3.1		
ERR357599	2.3.6.3	40.652	PASS		Typhi_4.3.1	4.3.1		
ERR1017039	2.3.6.3	40.087	PASS		Typhi_4.3.1	4.3.1		
ERR352434	2.3.6.3	49.5	PASS		Typhi_4.3.1	4.3.1		
ERR212664	2.3.6.3	49.431	PASS		Typhi_4.3.1	4.3.1		
ERR352624	2.3.6.3	39.897	PASS		Typhi_4.3.1	4.3.1		
ERR360988	2.3.6.3	46.809	PASS		Typhi_4.3.1	4.3.1		
ERR357830	2.3.6.3	42.594	PASS		Typhi_4.3.1	4.3.1		
ERR279102	2.3.6.3	68.89	PASS		Typhi_4.3.1	4.3.1		
ERR331208	2.3.6.3	50.028	PASS		Typhi_4.3.1	4.3.1		
ERR360975	2.3.6.3	57	PASS		Typhi_4.3.1	4.3.1		
ERR360965	2.3.6.3	127.304	PASS		Typhi_4.3.1	4.3.1		
ERR357606	2.3.6.3	43.754	PASS		Typhi_4.3.1	4.3.1		
ERR485127	2.3.6.3	52.13	PASS		Typhi_4.3.1	4.3.1		
ERR331344	2.3.6.3	46.718	PASS		Typhi_4.3.1	4.3.1		
ERR1017072	2.3.6.3	30.209	PASS		Typhi_4.3.1	4.3.1		
ERR352627	2.3.6.3	36.928	PASS		Typhi_4.3.1	4.3.1		
ERR319494	2.3.6.3	35.435	PASS		Typhi_4.3.1	4.3.1		
ERR331352	2.3.6.3	51.072	PASS		Typhi_4.3.1	4.3.1		
ERR352329	2.3.6.3	43.058	PASS		Typhi_4.3.1	4.3.1		
ERR357789	2.3.6.3	35.623	PASS		Typhi_4.3.1	4.3.1		
ERR349337	2.3.6.3	30.353	PASS		Typhi_4.3.1	4.3.1		
ERR349609	2.3.6.3	33.543	PASS		Typhi_4.3.1	4.3.1		
ERR360623	2.3.6.3	36.338	PASS		Typhi_4.3.1	4.3.1		
ERR360770	2.3.6.3	32.132	PASS		Typhi_4.3.1	4.3.1		
ERR279148	2.3.6.3	66.408	PASS		Typhi_4.3.1	4.3.1		
ERR338146	2.3.6.3	62.069	PASS		Typhi_4.3.1	4.3.1		
ERR349579	2.3.6.3	33.609	PASS		Typhi_4.3.1	4.3.1		
ERR352271	2.3.6.3	44.319	PASS		Typhi_4.3.1	4.3.1		
ERR349539	2.3.6.3	35.279	PASS		Typhi_4.3.1	4.3.1		
ERR422828	2.3.6.3	37.882	PASS		Typhi_4.3.1	4.3.1		
ERR217406	2.3.6.3	37.768	PASS		Typhi_4.3.1	4.3.1		
ERR319440	2.3.6.3	28.456	PASS		Typhi_4.3.1	4.3.1		
ERR360468	2.3.6.3	31.838	PASS		Typhi_4.3.1	4.3.1		
ERR108656	2.3.6.3	49.957	PASS		Typhi_4.3.1	4.3.1		
ERR422829	2.3.6.3	35.309	PASS		Typhi_4.3.1	4.3.1		
ERR352286	2.3.6.3	39.319	PASS		Typhi_4.3.1	4.3.1		
ERR360741	2.3.6.3	35.957	PASS		Typhi_4.3.1	4.3.1		
ERR1017094	2.3.6.3	29.681	PASS		Typhi_4.3.1	4.3.1		
