accession	snippy_bam_mean_depth	bases	estimated_raw_sequence_coverage	BioHansel_k-mer_coverage	sistr_serovar	coverage_enterobase
ERR360804	50.71605084	248411600	55.20257778	37.691	Typhi	52.62
ERR338023	76.41843201	379297200	84.28826667	47.847	Typhi	79.78
ERR573926	76.2225693	377875500	83.97233333	59.268	Typhi	79.83
ERR279145	117.8959232	584746600	129.9436889	74.729	Typhi	125
ERR1764809	64.19993961	325955250	72.4345	47.206	Typhi	66
ERR2213857	222.7277064	1107077250	246.0171667	148.853	Typhi	230
ERR331336	60.31266738	327987000	72.886	36.803	Typhi	67
ERR1764707	69.19833285	338455500	75.21233333	48.529	Typhi	71
ERR279352	132.1500564	655246000	145.6102222	84.236	Typhi	138.39
ERR360491	66.25908742	328719600	73.0488	45.632	Typhi	70
ERR1764704	74.53100423	365575500	81.239	54.338	Typhi	77
ERR340801	165.3398385	816225800	181.3835111	100.528	Typhi	173
ERR1764661	58.04429411	284022250	63.11605556	43.471	Typhi	60
ERR352303	62.13173802	303606800	67.46817778	42	Typhi	65
ERR360499	55.85470272	277412800	61.64728889	37.853	Typhi	59
ERR331217	95.05267	487864800	108.4144	56.84	Typhi	107
ERR460320	107.4270578	539360800	119.8579556	67.634	Typhi	111.83
ERR460340	102.6349914	510599200	113.4664889	65.25	Typhi	106.62
ERR1764765	65.10417949	318468250	70.77072222	47.186	Typhi	67
ERR2213822	218.603781	1077911500	239.5358889	148.187	Typhi	227
ERR1764772	74.40476898	367482000	81.66266667	53.3	Typhi	76
ERR586805	102.8400139	517539400	115.0087556	67.841	Typhi	107.58
ERR1764866	65.90130332	322825500	71.739	46.159	Typhi	67
ERR460349	105.5974587	523901600	116.4225778	68.536	Typhi	110.76
ERR1764678	64.90009185	319855500	71.079	46.62	Typhi	67
ERR343254	37.73145414	183455200	40.76782222	25.551	Typhi	39.83
ERR360780	50.42849868	255178200	56.70626667	34.985	Typhi	52
ERR360977	89.37122048	463772000	103.0604444	60.377	Typhi	93.83
ERR360673	67.94252758	335161400	74.48031111	48.147	Typhi	72
ERR1764835	65.66021784	327059750	72.67994444	47.971	Typhi	68
ERR331246	90.92035474	511298600	113.6219111	55.513	Typhi	108.18
ERR279141	100.9424831	496834400	110.4076444	65.625	Typhi	105.6
ERR1788809	42.98479924	210269500	46.72655556	31.243	Typhi	44
ERR1764825	64.69846874	316178250	70.26183333	47.333	Typhi	66
ERR331285	84.43864666	429728200	95.49515556	50.662	Typhi	91
ERR360747	49.59101687	245784200	54.61871111	34.309	Typhi	53
ERR357825	56.6113463	276992400	61.55386667	37.647	Typhi	60
ERR360608	54.42459353	269526800	59.89484444	37.406	Typhi	57
ERR1764824	67.57881443	328585000	73.01888889	48	Typhi	69
ERR1764791	59.45260995	290978500	64.66188889	44.382	Typhi	61
ERR331339	62.69140599	308518800	68.55973333	41.211	Typhi	66
ERR326660	96.9874584	477600400	106.1334222	63.014	Typhi	102
ERR338065	67.57417171	334818200	74.40404444	46.25	Typhi	70.75
ERR420421	88.3759524	447747800	99.49951111	54.514	Typhi	94.03
ERR357606	63.84331749	314426400	69.87253333	43.754	Typhi	66
ERR352324	64.33055932	319911800	71.09151111	44.691	Typhi	67
ERR1791772	73.39441597	369316500	82.07033333	53.159	Typhi	77
ERR352512	71.23001424	350833400	77.96297778	45.7	Typhi	74.16
ERR1764837	63.51982195	309834500	68.85211111	46.25	Typhi	65
ERR331284	90.72750781	452551800	100.5670667	57.883	Typhi	96
ERR1764724	63.21838364	311781000	69.28466667	47.235	Typhi	65
ERR352409	68.14062919	338512000	75.22488889	45.414	Typhi	70
ERR1764877	73.27383507	358142250	79.58716667	53.42	Typhi	75
ERR1764709	76.89761443	376314750	83.6255	55.868	Typhi	80
ERR213264	211.0195892	1073619000	238.582	128.932	Typhi	225
ERR357761	64.04726019	314703600	69.93413333	44.275	Typhi	66.76
ERR314358	98.20367259	487296000	108.288	62.658	Typhi	103
ERR357819	69.90256968	343869000	76.41533333	47.696	Typhi	73
ERR2789296	181.7675162	933377250	207.4171667	122.74	Typhi	192
ERR1764675	68.46420811	334713000	74.38066667	49.928	Typhi	70
ERR279234	101.3890856	503234200	111.8298222	69.603	Typhi	109.59
ERR352697	53.60153062	270466800	60.10373333	35.75	Typhi	54.8
ERR1764762	76.42298593	375973000	83.54955556	55.075	Typhi	80
ERR1788807	50.55010494	246916000	54.87022222	37.132	Typhi	52
ERR213273	279.5707534	1406504600	312.5565778	175.787	Typhi	297
ERR349498	44.09012324	217936000	48.43022222	30.25	Typhi	45.57
ERR2789209	181.1921025	896158000	199.1462222	128.514	Typhi	188
ERR338049	69.50303065	343652600	76.36724444	41.373	Typhi	72.55
ERR1764660	68.79311575	341674750	75.92772222	49.357	Typhi	70
ERR314384	94.21660594	482584200	107.2409333	59.306	Typhi	102
ERR360381	61.381189	302130800	67.14017778	42.797	Typhi	65.99
ERR314356	105.1285559	521944400	115.9876444	61.811	Typhi	110.76
ERR586897	100.770343	513992000	114.2204444	67.286	Typhi	107
ERR1764685	55.34782244	271206500	60.26811111	39.565	Typhi	57
ERR338134	75.94551425	396633000	88.14066667	47.534	Typhi	80.19
ERR331279	94.9503019	482820800	107.2935111	61.361	Typhi	102
ERR331230	94.80018058	501516000	111.448	62.652	Typhi	105.79
ERR594545	134.0010389	670326217	148.9613816	87.986	Typhi	135
ERR1764786	65.03243622	317260250	70.50227778	47.191	Typhi	67
ERR352481	63.35362423	311456800	69.21262222	43.884	Typhi	66
ERR331325	74.07950677	382196800	84.93262222	54.333	Typhi	81
ERR1764886	64.2736238	320306750	71.17927778	47.868	Typhi	66
ERR331328	68.69731383	365126800	81.13928889	49.667	Typhi	75
ERR460319	106.1252951	562859800	125.0799556	67.403	Typhi	116.29
ERR340775	131.807612	677507200	150.5571556	77.526	Typhi	143.23
ERR422837	55.45184909	272978200	60.66182222	36.826	Typhi	57.62
ERR213274	307.7503224	1539952400	342.2116444	179.705	Typhi	327
ERR331307	66.37475673	326590200	72.5756	41.694	Typhi	69.4
ERR1791801	78.51983422	384113000	85.35844444	55.928	Typhi	81
ERR360813	43.41838917	212056400	47.12364444	31.721	Typhi	46
ERR331210	98.00232895	517755600	115.0568	64.194	Typhi	113
ERR578473	99.20777923	571520991	127.0046647	77.197	Typhi	115
ERR1010005	96.44297018	479472000	106.5493333	64.38	Typhi	99
ERR1764817	64.13679412	317509750	70.55772222	45.824	Typhi	66
ERR357831	60.03398019	301394200	66.97648889	42.676	Typhi	64
ERR1764861	62.82633259	307314500	68.29211111	44.657	Typhi	64
ERR1764796	66.89772505	326290000	72.50888889	48.294	Typhi	69
ERR338072	86.6773641	439694600	97.70991111	57.275	Typhi	90.87
ERR340778	217.7780888	1100397800	244.5328444	136.701	Typhi	231
ERR467101	85.87816438	454881000	101.0846667	55.792	Typhi	94.3
ERR360683	64.12955837	318727000	70.82822222	44.956	Typhi	69
ERR360695	64.61081751	317898200	70.64404444	43.056	Typhi	68
ERR352539	68.72291272	337173200	74.92737778	46.071	Typhi	73.35
ERR349523	52.34795095	265922200	59.09382222	36.232	Typhi	53.85
ERR331357	63.70385422	332253600	73.83413333	37.634	Typhi	71
ERR331373	71.52590883	354451000	78.76688889	45.722	Typhi	75
ERR460227	109.4987574	546742800	121.4984	69.803	Typhi	113.6
ERR1791815	68.593471	335511500	74.55811111	50.25	Typhi	71
ERR326611	67.14331955	340605000	75.69	42.356	Typhi	72
ERR360429	51.41181197	263435000	58.54111111	35.735	Typhi	1
ERR326668	66.95653059	329538200	73.23071111	44.652	Typhi	70
ERR338051	82.43200063	408196400	90.71031111	52.192	Typhi	86.24
ERR338070	104.7309097	535828800	119.0730667	65.958	Typhi	110.71
ERR360644	64.30494234	317569400	70.57097778	43.391	Typhi	68
ERR316948	74.34813831	376321000	83.62688889	48.457	Typhi	79.04
ERR357796	48.71850913	241952400	53.7672	33.735	Typhi	51
ERR1764668	66.13100648	322248000	71.61066667	47.899	Typhi	68
ERR352613	53.05910664	268032000	59.56266667	35.647	Typhi	55.9
ERR460321	108.9447929	542510000	120.5577778	70.563	Typhi	112.99
ERR360684	58.24032774	285616600	63.47035556	38.829	Typhi	62
ERR439166	94.43956451	464855600	103.3012444	59.458	Typhi	96.62
ERR340757	110.3235513	562578000	125.0173333	71.736	Typhi	113.67
ERR338140	89.66147755	464347600	103.1883556	57.028	Typhi	93.87
ERR485138	82.0445139	413148400	91.81075556	56.522	Typhi	84
ERR331330	64.56639115	332291200	73.84248889	38.452	Typhi	71
ERR1764732	63.43060721	315954000	70.212	46.118	Typhi	66
ERR1791787	75.58075577	367307750	81.62394444	53.857	Typhi	78
ERR460327	85.960228	430127400	95.58386667	55.125	Typhi	90.09
ERR357800	65.08877807	320687200	71.26382222	45.588	Typhi	68
ERR731358	95.57459758	469699200	104.3776	65.735	Typhi	103
ERR230406	67.23346712	342360600	76.08013333	45.324	Typhi	71
ERR338043	78.55555364	385943000	85.76511111	48.417	Typhi	81.99
ERR1788877	49.90551663	243427500	54.095	37.265	Typhi	51
ERR1764784	55.12269421	272415250	60.53672222	41.221	Typhi	56
ERR349347	49.44590591	249295800	55.39906667	34.294	Typhi	52.04
ERR360555	49.75507903	259512800	57.66951111	33.515	Typhi	53
ERR1764702	55.63772518	273846000	60.85466667	41.955	Typhi	58
ERR1764849	65.55646151	321232000	71.38488889	46.435	Typhi	67
ERR349571	47.6002628	241686400	53.70808889	32.838	Typhi	47.52
ERR1788777	53.19949753	258470750	57.43794444	40.132	Typhi	54
ERR331316	81.57157701	407620600	90.58235556	52.348	Typhi	85.25
ERR352494	65.14586954	320316800	71.18151111	43.779	Typhi	68
ERR326646	89.94127223	480317000	106.7371111	58.62	Typhi	102
ERR331359	73.40714222	370616800	82.35928889	47.197	Typhi	78
ERR326681	71.70414451	360159200	80.03537778	43.493	Typhi	76
ERR1764670	72.81474066	365627250	81.2505	53.691	Typhi	77
ERR360620	61.87870898	308704800	68.60106667	42.029	Typhi	65
ERR1764683	65.05035686	321703500	71.48966667	45.29	Typhi	67
ERR460317	111.5870165	591475400	131.4389778	72.085	Typhi	118.73
ERR1764543	67.06657549	328712750	73.04727778	48.868	Typhi	69
ERR1082367	140.3772533	688812500	153.0694444	103.406	Typhi	145
ERR2789244	163.4762132	831244750	184.7210556	108.699	Typhi	170
ERR1791808	75.38374419	366207250	81.37938889	53.429	Typhi	77
ERR331313	77.08706067	384064400	85.34764444	52.571	Typhi	81.19
ERR1764662	63.25201615	314602500	69.91166667	43.87	Typhi	65
ERR1764760	55.95411243	278814750	61.95883333	40.925	Typhi	59
ERR1764671	69.02653941	338880750	75.30683333	49.246	Typhi	71
ERR331290	83.64408113	418548000	93.01066667	53.444	Typhi	88.38
ERR331319	91.25405793	452754600	100.6121333	60.71	Typhi	95.68
ERR108678	71.19120294	356628000	79.25066667	49.643	Typhi	76
ERR279207	99.65581051	501416000	111.4257778	63.521	Typhi	104.91
ERR326659	96.94137558	495588800	110.1308444	64.183	Typhi	104
ERR279140	99.66268922	496638600	110.3641333	64.486	Typhi	103.76
ERR467102	102.4581294	532609600	118.3576889	68.592	Typhi	111.28
ERR360436	56.97057581	282008800	62.66862222	40.235	Typhi	61.36
ERR460302	114.8327378	573720200	127.4933778	73.507	Typhi	120
ERR353336	87.46013162	432959200	96.21315556	60.319	Typhi	90.29
ERR337981	72.15735853	400787800	89.06395556	46.863	Typhi	85
ERR1764846	59.68150734	297949250	66.21094444	42.486	Typhi	62
ERR1791853	78.2300342	386832500	85.96277778	57.059	Typhi	80
ERR439216	98.7292539	488013200	108.4473778	66.565	Typhi	101.94
ERR343302	39.17922902	191539000	42.56422222	26.757	Typhi	41
ERR1764867	61.22625008	302442500	67.20944444	43.514	Typhi	63
ERR331238	101.2985889	541309800	120.2910667	62.957	Typhi	114.2
ERR1082899	133.9302388	659429750	146.5399444	96.614	Typhi	139
ERR326669	68.10442569	333877000	74.19488889	45.485	Typhi	71
ERR352335	64.98452102	321772600	71.50502222	44.838	Typhi	67.66
ERR586803	104.874939	525325400	116.7389778	69.529	Typhi	109.22
ERR573962	66.92911242	332022600	73.7828	50.143	Typhi	70.04
